"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","Method Description","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"01/01/2025","AirNow","060010009","3","12.2","ug/m3 LC","57","Oakland","1","100.0000","88101","PM2.5 - Local Conditions","","","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.743065","-122.169935"
"01/02/2025","AirNow","060010009","3","9.2","ug/m3 LC","51","Oakland","1","100.0000","88101","PM2.5 - Local Conditions","","","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.743065","-122.169935"
"01/03/2025","AirNow","060010009","3","7.7","ug/m3 LC","43","Oakland","1","100.0000","88101","PM2.5 - Local Conditions","","","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.743065","-122.169935"
"01/04/2025","AirNow","060010009","3","5.8","ug/m3 LC","32","Oakland","1","100.0000","88101","PM2.5 - Local Conditions","","","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.743065","-122.169935"
"01/05/2025","AirNow","060010009","3","6.7","ug/m3 LC","37","Oakland","1","100.0000","88101","PM2.5 - Local Conditions","","","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.743065","-122.169935"
"01/06/2025","AirNow","060010009","3","8.3","ug/m3 LC","46","Oakland","1","100.0000","88101","PM2.5 - Local Conditions","","","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.743065","-122.169935"
"01/07/2025","AirNow","060010009","3","1.1","ug/m3 LC","6","Oakland","1","100.0000","88101","PM2.5 - Local Conditions","","","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.743065","-122.169935"
"01/08/2025","AirNow","060010009","3","1.5","ug/m3 LC","8","Oakland","1","100.0000","88101","PM2.5 - Local Conditions","","","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.743065","-122.169935"
"01/09/2025","AirNow","060010009","3","6.3","ug/m3 LC","35","Oakland","1","100.0000","88101","PM2.5 - Local Conditions","","","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.743065","-122.169935"
"01/10/2025","AirNow","060010009","3","6.7","ug/m3 LC","37","Oakland","1","100.0000","88101","PM2.5 - Local Conditions","","","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.743065","-122.169935"
"01/11/2025","AirNow","060010009","3","3.9","ug/m3 LC","22","Oakland","1","100.0000","88101","PM2.5 - Local Conditions","","","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.743065","-122.169935"
"01/12/2025","AirNow","060010009","3","2.2","ug/m3 LC","12","Oakland","1","100.0000","88101","PM2.5 - Local Conditions","","","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.743065","-122.169935"
"01/13/2025","AirNow","060010009","3","3.1","ug/m3 LC","17","Oakland","1","100.0000","88101","PM2.5 - Local Conditions","","","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.743065","-122.169935"
"01/14/2025","AirNow","060010009","3","4.7","ug/m3 LC","26","Oakland","1","100.0000","88101","PM2.5 - Local Conditions","","","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.743065","-122.169935"
"01/15/2025","AirNow","060010009","3","9.4","ug/m3 LC","52","Oakland","1","100.0000","88101","PM2.5 - Local Conditions","","","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.743065","-122.169935"
"01/16/2025","AirNow","060010009","3","14.5","ug/m3 LC","61","Oakland","1","100.0000","88101","PM2.5 - Local Conditions","","","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.743065","-122.169935"
"01/17/2025","AirNow","060010009","3","9.3","ug/m3 LC","51","Oakland","1","100.0000","88101","PM2.5 - Local Conditions","","","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.743065","-122.169935"
"01/18/2025","AirNow","060010009","3","12.3","ug/m3 LC","57","Oakland","1","100.0000","88101","PM2.5 - Local Conditions","","","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.743065","-122.169935"
"01/19/2025","AirNow","060010009","3","10.8","ug/m3 LC","54","Oakland","1","100.0000","88101","PM2.5 - Local Conditions","","","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.743065","-122.169935"
"01/20/2025","AirNow","060010009","3","4.4","ug/m3 LC","24","Oakland","1","100.0000","88101","PM2.5 - Local Conditions","","","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.743065","-122.169935"
"01/21/2025","AirNow","060010009","3","5.8","ug/m3 LC","32","Oakland","1","100.0000","88101","PM2.5 - Local Conditions","","","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.743065","-122.169935"
"01/22/2025","AirNow","060010009","3","7.8","ug/m3 LC","43","Oakland","1","100.0000","88101","PM2.5 - Local Conditions","","","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.743065","-122.169935"
"01/23/2025","AirNow","060010009","3","8.6","ug/m3 LC","48","Oakland","1","100.0000","88101","PM2.5 - Local Conditions","","","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.743065","-122.169935"
"01/24/2025","AirNow","060010009","3","15.6","ug/m3 LC","63","Oakland","1","100.0000","88101","PM2.5 - Local Conditions","","","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.743065","-122.169935"
"01/25/2025","AirNow","060010009","3","7","ug/m3 LC","39","Oakland","1","100.0000","88101","PM2.5 - Local Conditions","","","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.743065","-122.169935"
"01/26/2025","AirNow","060010009","3","4","ug/m3 LC","22","Oakland","1","100.0000","88101","PM2.5 - Local Conditions","","","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.743065","-122.169935"
"01/27/2025","AirNow","060010009","3","5.5","ug/m3 LC","31","Oakland","1","100.0000","88101","PM2.5 - Local Conditions","","","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.743065","-122.169935"
"01/28/2025","AirNow","060010009","3","4.5","ug/m3 LC","25","Oakland","1","100.0000","88101","PM2.5 - Local Conditions","","","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.743065","-122.169935"
"01/29/2025","AirNow","060010009","3","6.1","ug/m3 LC","34","Oakland","1","100.0000","88101","PM2.5 - Local Conditions","","","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.743065","-122.169935"
"01/30/2025","AirNow","060010009","3","5.4","ug/m3 LC","30","Oakland","1","100.0000","88101","PM2.5 - Local Conditions","","","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.743065","-122.169935"
"01/31/2025","AirNow","060010009","3","5","ug/m3 LC","28","Oakland","1","100.0000","88101","PM2.5 - Local Conditions","","","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.743065","-122.169935"
"02/01/2025","AirNow","060010009","3","1.8","ug/m3 LC","10","Oakland","1","100.0000","88101","PM2.5 - Local Conditions","","","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.743065","-122.169935"
"02/02/2025","AirNow","060010009","3","0.1","ug/m3 LC","1","Oakland","1","100.0000","88101","PM2.5 - Local Conditions","","","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.743065","-122.169935"
"02/03/2025","AirNow","060010009","3","0.1","ug/m3 LC","1","Oakland","1","100.0000","88101","PM2.5 - Local Conditions","","","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.743065","-122.169935"
"02/04/2025","AirNow","060010009","3","1.2","ug/m3 LC","7","Oakland","1","100.0000","88101","PM2.5 - Local Conditions","","","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.743065","-122.169935"
"02/05/2025","AirNow","060010009","3","1.6","ug/m3 LC","9","Oakland","1","100.0000","88101","PM2.5 - Local Conditions","","","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.743065","-122.169935"
"02/06/2025","AirNow","060010009","3","0.7","ug/m3 LC","4","Oakland","1","100.0000","88101","PM2.5 - Local Conditions","","","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.743065","-122.169935"
"02/07/2025","AirNow","060010009","3","2.2","ug/m3 LC","12","Oakland","1","100.0000","88101","PM2.5 - Local Conditions","","","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.743065","-122.169935"
"02/08/2025","AirNow","060010009","3","2.7","ug/m3 LC","15","Oakland","1","100.0000","88101","PM2.5 - Local Conditions","","","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.743065","-122.169935"
"02/09/2025","AirNow","060010009","3","3.1","ug/m3 LC","17","Oakland","1","100.0000","88101","PM2.5 - Local Conditions","","","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.743065","-122.169935"
"02/10/2025","AirNow","060010009","3","3.4","ug/m3 LC","19","Oakland","1","100.0000","88101","PM2.5 - Local Conditions","","","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.743065","-122.169935"
"02/11/2025","AirNow","060010009","3","3.7","ug/m3 LC","21","Oakland","1","100.0000","88101","PM2.5 - Local Conditions","","","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.743065","-122.169935"
"02/12/2025","AirNow","060010009","3","3.2","ug/m3 LC","18","Oakland","1","100.0000","88101","PM2.5 - Local Conditions","","","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.743065","-122.169935"
"02/13/2025","AirNow","060010009","3","3.1","ug/m3 LC","17","Oakland","1","100.0000","88101","PM2.5 - Local Conditions","","","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.743065","-122.169935"
"02/14/2025","AirNow","060010009","3","6.7","ug/m3 LC","37","Oakland","1","100.0000","88101","PM2.5 - Local Conditions","","","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.743065","-122.169935"
"02/15/2025","AirNow","060010009","3","5.8","ug/m3 LC","32","Oakland","1","100.0000","88101","PM2.5 - Local Conditions","","","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.743065","-122.169935"
"02/16/2025","AirNow","060010009","3","5.3","ug/m3 LC","29","Oakland","1","100.0000","88101","PM2.5 - Local Conditions","","","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.743065","-122.169935"
"02/17/2025","AirNow","060010009","3","4.2","ug/m3 LC","23","Oakland","1","100.0000","88101","PM2.5 - Local Conditions","","","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.743065","-122.169935"
"02/18/2025","AirNow","060010009","3","4.1","ug/m3 LC","23","Oakland","1","100.0000","88101","PM2.5 - Local Conditions","","","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.743065","-122.169935"
"02/19/2025","AirNow","060010009","3","4.2","ug/m3 LC","23","Oakland","1","100.0000","88101","PM2.5 - Local Conditions","","","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.743065","-122.169935"
"02/20/2025","AirNow","060010009","3","5.2","ug/m3 LC","29","Oakland","1","100.0000","88101","PM2.5 - Local Conditions","","","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.743065","-122.169935"
"02/21/2025","AirNow","060010009","3","3.8","ug/m3 LC","21","Oakland","1","100.0000","88101","PM2.5 - Local Conditions","","","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.743065","-122.169935"
"02/22/2025","AirNow","060010009","3","5.5","ug/m3 LC","31","Oakland","1","100.0000","88101","PM2.5 - Local Conditions","","","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.743065","-122.169935"
"02/23/2025","AirNow","060010009","3","5.4","ug/m3 LC","30","Oakland","1","100.0000","88101","PM2.5 - Local Conditions","","","41860","San Francisco-Oakland-Hayward, CA","06","California","001","Alameda","37.743065","-122.169935"
