date,latitude,longitude,pm2.5,ozone,aqi,city,temperature_2m,relative_humidity_2m,wind_speed_10m,pressure_msl,precipitation,cloud_cover
2014-01-01,36.4818700009023,-121.73333,7.4,0.038,41.0,Carmel Valley,10.128970764705882,64.52749735294117,2.7720514882352942,1021.2411764705881,0.0,31.764705882352942
2014-01-02,36.4818700009023,-121.73333,6.1,0.037,34.0,Carmel Valley,10.708750175,56.413914874999996,4.4387779875,1019.8708333333334,0.0,33.583333333333336
2014-01-03,36.4818700009023,-121.73333,6.6,0.03,37.0,Carmel Valley,12.32750025,59.092632208333335,2.7026669516666666,1016.9916666666667,0.0,88.45833333333333
2014-01-04,36.4818700009023,-121.73333,4.9,0.032,27.0,Carmel Valley,11.383750166666667,68.99942670833333,2.744196161666667,1015.2791666666667,0.0,57.375
2014-01-05,36.4818700009023,-121.73333,6.2,0.039,34.0,Carmel Valley,10.473333520833334,69.475197875,4.484720758333333,1018.5500000000001,0.0,0.125
2014-01-06,36.4818700009023,-121.73333,6.4,0.039,36.0,Carmel Valley,11.3045833375,58.36860920833333,3.6108907570833337,1022.275,0.0,45.666666666666664
2014-01-07,36.4818700009023,-121.73333,5.0,0.035,28.0,Carmel Valley,11.946250125,73.740677125,4.134309141666667,1021.5833333333334,0.0,91.75
2014-01-08,36.4818700009023,-121.73333,4.2,0.033,23.0,Carmel Valley,10.371250333333334,89.34183287500001,6.458568558333333,1022.0041666666666,0.0,76.75
2014-01-09,36.4818700009023,-121.73333,5.2,0.035,29.0,Carmel Valley,10.433750291666668,89.18084679166667,6.1015952916666665,1023.0083333333333,0.0,84.25
2014-01-10,36.4818700009023,-121.73333,4.4,0.033,24.0,Carmel Valley,9.702500191666667,81.66563020833333,4.622790529166667,1023.7375000000001,0.0,64.33333333333333
2014-01-11,36.4818700009023,-121.73333,4.0,0.028,22.0,Carmel Valley,10.698333508333334,83.54873479166666,3.7376274833333336,1022.5833333333334,0.0,96.875
2014-01-12,36.4818700009023,-121.73333,7.0,0.03,39.0,Carmel Valley,10.079583520833333,84.64235062499999,7.2686862916666675,1025.2541666666668,0.004166666666666667,55.416666666666664
2014-01-13,36.4818700009023,-121.73333,4.8,0.034,27.0,Carmel Valley,9.9212501,65.53994558333333,7.844357658333333,1027.3875,0.0,0.0
2014-01-14,36.4818700009023,-121.73333,5.2,0.035,29.0,Carmel Valley,13.058750166666668,47.166715958333334,8.265603866666666,1028.1000000000001,0.0,0.041666666666666664
2014-01-15,36.4818700009023,-121.73333,6.0,0.042,33.0,Carmel Valley,15.021250208333333,38.427042291666666,8.313306345833334,1025.3083333333334,0.0,0.0
2014-01-16,36.4818700009023,-121.73333,6.6,0.039,37.0,Carmel Valley,14.902500166666668,35.35529145833333,7.2438699125,1021.5124999999999,0.0,0.0
2014-01-17,36.4818700009023,-121.73333,5.1,0.042,28.0,Carmel Valley,13.992083666666666,39.437721125,5.378952220833334,1019.9208333333332,0.0,0.0
2014-01-18,36.4818700009023,-121.73333,5.9,0.04,33.0,Carmel Valley,13.917083395833332,47.37858945833333,3.6618290445833335,1019.4625,0.0,0.0
2014-01-19,36.4818700009023,-121.73333,8.5,0.038,47.0,Carmel Valley,12.690000079166666,46.70758345833334,4.224144070833334,1018.0749999999999,0.0,2.6666666666666665
2014-01-20,36.4818700009023,-121.73333,7.9,0.044,44.0,Carmel Valley,11.923333441666665,56.250123583333334,3.3368172958333333,1019.8333333333334,0.0,15.625
2014-01-21,36.4818700009023,-121.73333,9.3,0.038,51.0,Carmel Valley,12.177500095833333,59.698625875,3.0329355583333335,1022.3583333333332,0.0,57.333333333333336
2014-01-22,36.4818700009023,-121.73333,8.0,0.04,44.0,Carmel Valley,12.121250166666668,54.11869612500001,3.6576633958333336,1019.4875000000001,0.0,62.166666666666664
2014-01-23,36.4818700009023,-121.73333,9.7,0.036,52.0,Carmel Valley,12.794167,58.85741695833334,3.4617480541666663,1012.7791666666667,0.0,9.0
2014-01-24,36.4818700009023,-121.73333,14.1,0.038,60.0,Carmel Valley,11.337916833333333,74.82069916666667,4.207348670833333,1017.2208333333333,0.0,31.875
2014-01-25,36.4818700009023,-121.73333,8.5,0.039,47.0,Carmel Valley,12.958750125,69.62874675,3.7220710083333337,1022.9625,0.0,57.0
2014-01-26,36.4818700009023,-121.73333,9.6,0.039,52.0,Carmel Valley,12.744166833333333,65.31142754166667,5.142963254166666,1019.4416666666666,0.0,64.54166666666667
2014-01-27,36.4818700009023,-121.73333,8.5,0.034,47.0,Carmel Valley,11.181666833333333,82.94434216666667,4.916504920833334,1019.5875,0.0,60.875
2014-01-28,36.4818700009023,-121.73333,5.9,0.031,33.0,Carmel Valley,12.100416708333334,81.241972375,4.470688811666666,1022.3416666666667,0.0,80.20833333333333
2014-01-29,36.4818700009023,-121.73333,3.9,0.027,22.0,Carmel Valley,13.225416791666667,94.65624724999999,4.727012304166666,1021.9916666666667,0.016666666666666666,97.20833333333333
2014-01-30,36.4818700009023,-121.73333,6.9,0.04,38.0,Carmel Valley,12.248333625,87.17344958333332,8.1069730625,1014.3791666666666,0.012500000000000002,82.0
2014-01-31,36.4818700009023,-121.73333,8.2,0.033,46.0,Carmel Valley,10.458750166666666,79.20626775000001,9.709456210416667,1014.8625000000001,0.05416666666666667,48.166666666666664
2014-02-01,36.4818700009023,-121.73333,7.2,0.035,40.0,Carmel Valley,9.594166745833332,73.00998029166666,8.523153654166666,1019.15,0.0,2.9583333333333335
2014-02-02,36.4818700009023,-121.73333,8.0,0.03,44.0,Carmel Valley,8.315000258333333,81.83922358333334,9.061266720833332,1016.25,0.45416666666666666,69.66666666666667
2014-02-03,36.4818700009023,-121.73333,6.0,0.037,33.0,Carmel Valley,7.712916820833333,84.55373108333333,7.340691566666667,1014.9875000000001,0.03333333333333333,33.25
2014-02-04,36.4818700009023,-121.73333,6.8,0.033,38.0,Carmel Valley,7.846250116666667,73.51412675,5.8577198374999995,1018.8125,0.0,67.125
2014-02-05,36.4818700009023,-121.73333,6.3,0.037,35.0,Carmel Valley,8.085833491666667,72.17888404166666,6.537435120833333,1021.15,0.0,51.416666666666664
2014-02-06,36.4818700009023,-121.73333,5.2,0.033,29.0,Carmel Valley,9.335833345833333,83.39214916666667,9.317734208333333,1016.2333333333332,0.6291666666666667,97.75
2014-02-07,36.4818700009023,-121.73333,7.9,0.032,44.0,Carmel Valley,10.767083541666667,90.20444370833333,6.198740040833333,1017.3208333333333,0.12083333333333333,99.25
2014-02-08,36.4818700009023,-121.73333,6.6,0.029,37.0,Carmel Valley,12.452500208333333,89.18725104166667,14.010439541666665,1020.0166666666668,0.225,100.0
2014-02-09,36.4818700009023,-121.73333,6.2,0.03,34.0,Carmel Valley,13.162916791666667,94.09235570833333,10.714593358333333,1022.0625,0.1125,99.0
2014-02-10,36.4818700009023,-121.73333,5.1,0.027,28.0,Carmel Valley,12.615000208333333,92.01581933333334,10.6912431,1022.2708333333334,0.17916666666666667,99.66666666666667
2014-02-11,36.4818700009023,-121.73333,6.7,0.028,37.0,Carmel Valley,10.333750241666667,88.83063354166667,3.998271144583333,1023.375,0.0,80.04166666666667
2014-02-12,36.4818700009023,-121.73333,8.0,0.033,44.0,Carmel Valley,10.4004170125,82.37510958333333,3.9630327875,1023.0458333333332,0.0,83.875
2014-02-13,36.4818700009023,-121.73333,6.1,0.029,34.0,Carmel Valley,12.279583500000001,80.77882616666666,4.39337755,1021.7666666666668,0.0,58.5
2014-02-14,36.4818700009023,-121.73333,6.1,0.024,34.0,Carmel Valley,12.28791675,89.64476458333333,5.8823906374999995,1020.375,0.0,83.54166666666667
2014-02-15,36.4818700009023,-121.73333,6.5,0.022,36.0,Carmel Valley,11.552500125,83.869224375,4.882307558333333,1017.2541666666666,0.0,96.125
2014-02-16,36.4818700009023,-121.73333,8.2,0.034,46.0,Carmel Valley,12.560833500000001,87.16264283333334,6.221021100000001,1018.9875000000001,0.05416666666666667,83.91666666666667
2014-02-17,36.4818700009023,-121.73333,7.1,0.037,39.0,Carmel Valley,10.6900001375,79.70903679166666,7.091249666666666,1019.8916666666668,0.0,61.75
2014-02-18,36.4818700009023,-121.73333,7.2,0.033,40.0,Carmel Valley,9.698333604166667,81.51382808333334,4.728977552083333,1020.9375,0.0,71.95833333333333
2014-02-19,36.4818700009023,-121.73333,8.2,0.039,46.0,Carmel Valley,11.323333541666665,85.48132783333334,7.583870354166667,1020.2708333333334,0.0,56.583333333333336
2014-02-20,36.4818700009023,-121.73333,8.2,0.039,46.0,Carmel Valley,11.323333541666665,85.48132783333334,7.583870354166667,1020.2708333333334,0.0,56.583333333333336
2014-02-21,36.4818700009023,-121.73333,6.1,0.041,34.0,Carmel Valley,12.981666708333334,59.39922604166667,4.763937220833333,1018.6,0.0,16.25
2014-02-22,36.4818700009023,-121.73333,7.7,0.037,43.0,Carmel Valley,12.617083375,74.52438158333334,4.735261745833333,1015.3583333333332,0.0,18.541666666666668
2014-02-23,36.4818700009023,-121.73333,7.1,0.034,39.0,Carmel Valley,11.665000125,82.56660283333333,4.567756261666667,1014.9958333333334,0.0,32.666666666666664
2014-02-24,36.4818700009023,-121.73333,10.1,0.036,53.0,Carmel Valley,12.267083541666667,79.92709783333333,4.8040337625000005,1014.8416666666667,0.0,2.2083333333333335
2014-02-25,36.4818700009023,-121.73333,11.9,0.045,56.0,Carmel Valley,10.748333520833334,83.88374883333334,5.972155175,1014.4166666666666,0.0,29.0
2014-02-26,36.4818700009023,-121.73333,8.8,0.033,49.0,Carmel Valley,11.99000025,83.68690516666668,10.747774245833334,1013.4250000000001,0.24583333333333335,91.79166666666667
2014-02-27,36.4818700009023,-121.73333,6.7,0.04,37.0,Carmel Valley,13.196250083333332,82.401297,14.238042220833334,1010.5625,0.8083333333333335,71.125
2014-02-28,36.4818700009023,-121.73333,7.0,0.04,39.0,Carmel Valley,13.260833583333332,75.922833375,14.406092541666666,999.6041666666666,0.8791666666666665,94.25
2014-03-01,36.4818700009023,-121.73333,6.2,0.039,34.0,Carmel Valley,12.581666749999998,82.85397525,17.069206770833333,999.3291666666668,0.4291666666666667,82.875
2014-03-02,36.4818700009023,-121.73333,7.5,0.039,42.0,Carmel Valley,12.9233335,84.817732875,11.583598133333332,1011.7166666666667,0.09166666666666667,84.66666666666667
2014-03-03,36.4818700009023,-121.73333,9.1,0.032,51.0,Carmel Valley,11.802500166666666,87.223062875,5.454579858333333,1020.6708333333332,0.0,82.625
2014-03-04,36.4818700009023,-121.73333,8.8,0.027,49.0,Carmel Valley,13.267083541666667,84.953075875,5.209104470833333,1018.8874999999999,0.020833333333333332,99.95833333333333
2014-03-05,36.4818700009023,-121.73333,9.7,0.029,52.0,Carmel Valley,13.112916833333335,91.46286904166668,5.572143466666667,1018.8041666666667,0.0,95.91666666666667
2014-03-06,36.4818700009023,-121.73333,10.7,0.039,54.0,Carmel Valley,14.283750249999999,86.0548865,7.3813028625,1019.1875,0.32916666666666666,91.83333333333333
2014-03-07,36.4818700009023,-121.73333,9.5,0.038,52.0,Carmel Valley,11.856666833333334,85.57403370833333,7.14874355,1021.125,0.0,38.333333333333336
2014-03-08,36.4818700009023,-121.73333,9.0,0.039,50.0,Carmel Valley,12.431666900000002,79.400775,4.66372212,1020.2125,0.0,35.958333333333336
2014-03-09,36.4818700009023,-121.73333,9.7,0.043,52.0,Carmel Valley,14.604583499999999,73.77067129166666,4.3732061125,1020.6750000000001,0.0,95.16666666666667
2014-03-10,36.4818700009023,-121.73333,10.0,0.041,53.0,Carmel Valley,13.404583416666668,82.89781741666667,6.947411429166666,1020.5916666666667,0.0,89.95833333333333
2014-03-11,36.4818700009023,-121.73333,5.7,0.047,32.0,Carmel Valley,12.415000124999999,73.8593605,7.406826483333333,1019.6291666666666,0.0,51.75
2014-03-12,36.4818700009023,-121.73333,6.8,0.048,38.0,Carmel Valley,14.225416666666668,55.35571220833333,9.965996341666667,1015.8541666666666,0.0,9.458333333333334
2014-03-13,36.4818700009023,-121.73333,10.4,0.042,53.0,Carmel Valley,15.798333416666665,49.294265458333335,5.841609157083333,1016.0416666666666,0.0,2.5833333333333335
2014-03-14,36.4818700009023,-121.73333,8.2,0.038,46.0,Carmel Valley,12.029583541666668,80.25817954166666,5.932495108333334,1019.3416666666667,0.0,52.666666666666664
2014-03-15,36.4818700009023,-121.73333,8.2,0.038,46.0,Carmel Valley,12.029583541666668,80.25817954166666,5.932495108333334,1019.3416666666667,0.0,52.666666666666664
2014-03-16,36.4818700009023,-121.73333,8.2,0.038,46.0,Carmel Valley,12.029583541666668,80.25817954166666,5.932495108333334,1019.3416666666667,0.0,52.666666666666664
2014-03-17,36.4818700009023,-121.73333,8.2,0.038,46.0,Carmel Valley,12.029583541666668,80.25817954166666,5.932495108333334,1019.3416666666667,0.0,52.666666666666664
2014-03-18,36.4818700009023,-121.73333,6.4,0.045,36.0,Carmel Valley,12.087916720833334,77.10827066666667,6.479680941666667,1014.2208333333333,0.0,15.666666666666666
2014-03-19,36.4818700009023,-121.73333,7.7,0.046,43.0,Carmel Valley,13.321250041666666,63.57368329166667,5.199071741666667,1015.2416666666667,0.0,8.458333333333334
2014-03-20,36.4818700009023,-121.73333,9.9,0.044,52.0,Carmel Valley,13.750416791666666,67.70113333333333,5.1830755,1016.9791666666666,0.0,80.08333333333333
2014-03-21,36.4818700009023,-121.73333,11.9,0.041,56.0,Carmel Valley,10.794166758333333,82.47532954166667,6.828101841666666,1015.1916666666666,0.0,53.25
2014-03-22,36.4818700009023,-121.73333,12.6,0.039,58.0,Carmel Valley,10.650416875,77.97347875,6.378984174999999,1017.1333333333333,0.0,31.666666666666668
2014-03-23,36.4818700009023,-121.73333,10.3,0.04,53.0,Carmel Valley,10.7233336375,80.79957416666666,5.848870141666667,1020.2624999999999,0.0,34.125
2014-03-24,36.4818700009023,-121.73333,9.4,0.045,52.0,Carmel Valley,12.548333429166666,75.46320833333333,5.669622461666666,1019.4708333333333,0.0,7.75
2014-03-25,36.4818700009023,-121.73333,6.2,0.04,34.0,Carmel Valley,11.858750133333332,78.12015520833333,6.3803065708333335,1016.4833333333332,0.008333333333333333,48.041666666666664
2014-03-26,36.4818700009023,-121.73333,6.0,0.039,33.0,Carmel Valley,11.760833583333332,88.07809704166668,12.851186229166666,1012.1041666666666,0.5166666666666667,74.79166666666667
2014-03-27,36.4818700009023,-121.73333,7.9,0.043,44.0,Carmel Valley,11.842083500000001,80.37827445833334,8.57822105,1016.5625,0.075,64.625
2014-03-28,36.4818700009023,-121.73333,6.7,0.035,37.0,Carmel Valley,12.275416791666666,82.07802379166667,5.509749770833333,1021.0333333333333,0.0,73.83333333333333
2014-03-29,36.4818700009023,-121.73333,3.7,0.034,21.0,Carmel Valley,13.110833583333333,83.68324375,9.401035920833333,1019.9583333333334,0.07083333333333333,94.33333333333333
2014-03-30,36.4818700009023,-121.73333,4.0,0.041,22.0,Carmel Valley,11.300416916666668,82.139618,10.573842425,1018.8125,0.3833333333333333,68.0
2014-03-31,36.4818700009023,-121.73333,4.1,0.042,23.0,Carmel Valley,10.627500291666667,77.1659755,10.929860741666667,1016.7583333333333,0.2875,74.04166666666667
2014-04-01,36.4818700009023,-121.73333,4.7,0.042,26.0,Carmel Valley,9.200416879166667,82.47344629166666,8.949361329166667,1013.5708333333333,0.6124999999999999,49.708333333333336
2014-04-02,36.4818700009023,-121.73333,3.1,0.047,17.0,Carmel Valley,9.315000187499999,78.992745625,9.2987868,1014.2875,0.33749999999999997,63.625
2014-04-03,36.4818700009023,-121.73333,3.9,0.041,22.0,Carmel Valley,10.906666791666666,78.16054016666666,6.663548,1019.15,0.0,52.791666666666664
2014-04-04,36.4818700009023,-121.73333,3.3,0.044,18.0,Carmel Valley,10.256666854166667,83.03756754166666,10.281921912500001,1017.3333333333334,0.11666666666666665,52.125
2014-04-05,36.4818700009023,-121.73333,4.9,0.041,27.0,Carmel Valley,11.052500208333333,77.80741241666666,11.248016966666667,1018.85,0.0,40.666666666666664
2014-04-06,36.4818700009023,-121.73333,5.4,0.041,30.0,Carmel Valley,12.373333458333333,81.918155875,5.537492382083333,1022.2875,0.0,16.041666666666668
2014-04-07,36.4818700009023,-121.73333,6.5,0.044,36.0,Carmel Valley,15.135833333333332,75.15744695833332,5.1208275625,1019.6166666666667,0.0,0.25
2014-04-08,36.4818700009023,-121.73333,5.6,0.037,31.0,Carmel Valley,16.085833458333333,71.43639,4.995668254166667,1018.4625,0.0,52.25
2014-04-09,36.4818700009023,-121.73333,4.6,0.033,26.0,Carmel Valley,14.94625025,73.96316775,5.879212670833333,1017.9416666666666,0.0,84.375
2014-04-10,36.4818700009023,-121.73333,7.1,0.033,39.0,Carmel Valley,13.860833583333333,73.81055325,5.196372082083333,1016.0749999999999,0.0,26.25
2014-04-11,36.4818700009023,-121.73333,9.1,0.034,51.0,Carmel Valley,13.185833500000001,74.16600724999999,6.0711235624999995,1013.4625,0.0,92.25
2014-04-12,36.4818700009023,-121.73333,9.3,0.042,51.0,Carmel Valley,11.815000083333333,79.036135,8.205659208333334,1012.8375,0.0,64.91666666666667
2014-04-13,36.4818700009023,-121.73333,8.9,0.044,49.0,Carmel Valley,11.815000208333332,79.98325475,7.805100791666667,1015.3000000000001,0.0,54.541666666666664
2014-04-14,36.4818700009023,-121.73333,10.5,0.04,54.0,Carmel Valley,12.748333375,80.00639216666666,6.385634008333334,1017.7666666666668,0.0,21.708333333333332
2014-04-15,36.4818700009023,-121.73333,11.4,0.042,55.0,Carmel Valley,13.296250208333333,80.69809920833333,6.508124766666666,1017.0541666666667,0.0,66.04166666666667
2014-04-16,36.4818700009023,-121.73333,12.3,0.042,57.0,Carmel Valley,12.456666929166666,80.77393520833333,6.129492220833334,1012.9583333333334,0.0,27.625
2014-04-17,36.4818700009023,-121.73333,11.2,0.038,55.0,Carmel Valley,13.198333458333332,80.93381329166667,7.363385158333333,1010.7541666666666,0.0,55.5
2014-04-18,36.4818700009023,-121.73333,8.6,0.041,48.0,Carmel Valley,12.154583583333334,82.40085983333334,8.464648829166666,1012.6291666666666,0.0,72.08333333333333
2014-04-19,36.4818700009023,-121.73333,7.1,0.047,39.0,Carmel Valley,11.612916916666668,79.086026375,9.409578041666666,1016.4250000000001,0.0,43.916666666666664
2014-04-20,36.4818700009023,-121.73333,9.6,0.045,52.0,Carmel Valley,12.7691668,78.76793070833334,6.6465118033333335,1019.9125,0.0,41.666666666666664
2014-04-21,36.4818700009023,-121.73333,13.5,0.048,59.0,Carmel Valley,14.12541675,70.73978358333333,4.938971790416667,1017.7875,0.0,48.416666666666664
2014-04-22,36.4818700009023,-121.73333,8.2,0.05,46.0,Carmel Valley,11.337916791666666,76.43254183333333,14.578329766666668,1017.5833333333334,0.024999999999999998,50.083333333333336
2014-04-23,36.4818700009023,-121.73333,6.5,0.046,36.0,Carmel Valley,10.91500025,70.55551583333333,12.274283008333333,1019.9416666666666,0.0,61.375
2014-04-24,36.4818700009023,-121.73333,7.4,0.043,41.0,Carmel Valley,11.629583458333334,81.478557375,9.226292291666667,1018.975,0.0,35.875
2014-04-25,36.4818700009023,-121.73333,6.5,0.047,36.0,Carmel Valley,12.177500166666666,88.66439525,11.018262558333333,1013.9875000000001,0.46249999999999997,93.79166666666667
2014-04-26,36.4818700009023,-121.73333,6.5,0.045,36.0,Carmel Valley,10.01500025,79.30475445833333,15.815292666666666,1013.2666666666668,0.3458333333333334,49.416666666666664
2014-04-27,36.4818700009023,-121.73333,6.9,0.042,38.0,Carmel Valley,11.023333466666665,78.19714783333333,9.457168529166667,1018.7958333333332,0.0,62.333333333333336
2014-04-28,36.4818700009023,-121.73333,11.3,0.047,55.0,Carmel Valley,11.537916762499998,78.20387075000001,8.639220391666667,1021.1291666666666,0.0,12.25
2014-04-29,36.4818700009023,-121.73333,8.7,0.058,48.0,Carmel Valley,14.948333583333332,65.43629091666666,5.25715272375,1020.8833333333333,0.0,30.833333333333332
2014-04-30,36.4818700009023,-121.73333,9.6,0.059,52.0,Carmel Valley,18.133750041666666,57.34724158333333,6.577604937499999,1017.4125,0.0,30.541666666666668
2014-05-01,36.4818700009023,-121.73333,8.2,0.063,46.0,Carmel Valley,19.037916708333334,49.81035970833333,6.5500239625,1017.2833333333333,0.0,66.95833333333333
2014-05-02,36.4818700009023,-121.73333,6.7,0.053,37.0,Carmel Valley,18.150416708333335,52.08551320833333,5.549559020833333,1017.8083333333334,0.0,37.625
2014-05-03,36.4818700009023,-121.73333,4.7,0.042,26.0,Carmel Valley,13.490000166666666,78.91301516666667,9.031907537499999,1017.025,0.0,87.66666666666667
2014-05-04,36.4818700009023,-121.73333,3.3,0.038,18.0,Carmel Valley,12.47750025,83.57960208333334,10.3710469125,1017.2125,0.0,72.20833333333333
2014-05-05,36.4818700009023,-121.73333,3.9,0.043,22.0,Carmel Valley,12.508750208333334,85.50081404166667,11.843882025,1017.2333333333332,0.0,80.375
2014-05-06,36.4818700009023,-121.73333,8.5,0.039,47.0,Carmel Valley,11.921250083333334,78.285594375,17.005817479166666,1014.5291666666667,0.0,20.333333333333332
2014-05-07,36.4818700009023,-121.73333,9.4,0.048,52.0,Carmel Valley,11.2233335,79.30751395833333,12.304752879166665,1014.5208333333334,0.0,68.20833333333333
2014-05-08,36.4818700009023,-121.73333,6.7,0.039,37.0,Carmel Valley,11.573333666666668,79.447482625,9.0263795625,1017.8291666666668,0.0,94.125
2014-05-09,36.4818700009023,-121.73333,4.0,0.042,22.0,Carmel Valley,13.710833416666667,82.28057208333333,10.521192025,1019.8041666666667,0.008333333333333333,89.25
2014-05-10,36.4818700009023,-121.73333,5.8,0.041,32.0,Carmel Valley,11.669166875,77.133849375,14.104766870833332,1020.1125000000001,0.0,9.541666666666666
2014-05-11,36.4818700009023,-121.73333,4.1,0.041,23.0,Carmel Valley,13.150416916666666,68.13901729166666,12.520224337499998,1017.5333333333333,0.0,1.4166666666666667
2014-05-12,36.4818700009023,-121.73333,5.6,0.048,31.0,Carmel Valley,15.227500083333332,59.191698833333334,6.121531761666667,1017.9333333333334,0.0,27.5
2014-05-13,36.4818700009023,-121.73333,6.2,0.065,34.0,Carmel Valley,18.1545835,51.86083083333333,5.492829241666667,1018.1374999999999,0.0,8.833333333333334
2014-05-14,36.4818700009023,-121.73333,7.0,0.07,39.0,Carmel Valley,20.14208341666667,38.54563566666667,7.015119208333334,1018.8541666666666,0.0,2.375
2014-05-15,36.4818700009023,-121.73333,7.5,0.062,42.0,Carmel Valley,21.423333333333332,37.21905091666667,5.936464169583334,1017.6166666666667,0.0,23.958333333333332
2014-05-16,36.4818700009023,-121.73333,8.4,0.043,47.0,Carmel Valley,16.735833500000002,56.95437325,7.9825958875000005,1017.8666666666667,0.0,95.875
2014-05-17,36.4818700009023,-121.73333,6.7,0.036,37.0,Carmel Valley,13.702500083333334,75.68800791666666,9.038977129166666,1016.4625,0.0,38.5
2014-05-18,36.4818700009023,-121.73333,5.3,0.038,29.0,Carmel Valley,12.910833541666667,80.949453125,10.603453433333334,1015.6583333333333,0.0,35.875
2014-05-19,36.4818700009023,-121.73333,3.4,0.034,19.0,Carmel Valley,12.700416958333333,81.58291925,12.510007104166666,1015.225,0.0,15.125
2014-05-20,36.4818700009023,-121.73333,6.1,0.034,34.0,Carmel Valley,12.994166833333333,80.819790625,11.1382822375,1015.3916666666668,0.0,43.75
2014-05-21,36.4818700009023,-121.73333,6.6,0.031,37.0,Carmel Valley,13.073333499999999,81.60763729166666,9.415311670833333,1015.4791666666666,0.0,66.29166666666667
2014-05-22,36.4818700009023,-121.73333,4.4,0.036,24.0,Carmel Valley,13.433750208333334,80.293352625,8.7156389875,1014.8625000000001,0.0,62.791666666666664
2014-05-23,36.4818700009023,-121.73333,5.0,0.027,28.0,Carmel Valley,13.387916791666667,79.31990695833333,7.7809678,1016.3208333333333,0.0,45.833333333333336
2014-05-24,36.4818700009023,-121.73333,4.6,0.03,26.0,Carmel Valley,13.537916791666667,82.769475125,9.770329016666667,1015.9125,0.0,83.83333333333333
2014-05-25,36.4818700009023,-121.73333,8.8,0.035,49.0,Carmel Valley,14.237916749999998,76.00729633333334,7.657960095833334,1014.9291666666667,0.0,29.875
2014-05-26,36.4818700009023,-121.73333,6.2,0.026,34.0,Carmel Valley,15.181666791666666,69.15359354166667,8.194934554166666,1015.1791666666667,0.0,1.4166666666666667
2014-05-27,36.4818700009023,-121.73333,8.3,0.042,46.0,Carmel Valley,14.175416750000002,72.509577125,8.968025833333334,1016.5333333333333,0.0,0.20833333333333334
2014-05-28,36.4818700009023,-121.73333,6.4,0.042,36.0,Carmel Valley,13.685833541666668,66.10191991666666,9.603714745833333,1016.4041666666667,0.0,0.20833333333333334
2014-05-29,36.4818700009023,-121.73333,7.1,0.044,39.0,Carmel Valley,15.321250166666667,62.621791916666666,6.896380249166666,1013.5916666666667,0.0,21.0
2014-05-30,36.4818700009023,-121.73333,12.0,0.042,56.0,Carmel Valley,12.856666708333334,73.88910308333334,8.854346516666666,1013.7666666666668,0.0,30.833333333333332
2014-05-31,36.4818700009023,-121.73333,9.0,0.034,50.0,Carmel Valley,12.469166791666666,78.89531845833334,8.495235854166667,1014.7791666666667,0.0,53.458333333333336
2014-06-01,36.4818700009023,-121.73333,7.9,0.032,44.0,Carmel Valley,13.694166791666667,75.174239875,6.734023616666668,1013.0166666666668,0.0,35.666666666666664
2014-06-02,36.4818700009023,-121.73333,4.8,0.036,27.0,Carmel Valley,13.03166675,75.64905916666667,8.797007570833333,1011.5416666666666,0.0,38.0
2014-06-03,36.4818700009023,-121.73333,6.0,0.033,33.0,Carmel Valley,13.296250208333333,77.34964854166667,8.229089416666666,1013.3083333333334,0.0,54.083333333333336
2014-06-04,36.4818700009023,-121.73333,9.0,0.033,50.0,Carmel Valley,13.862916833333335,74.55946608333333,6.839786070833333,1012.1208333333334,0.0,22.5
2014-06-05,36.4818700009023,-121.73333,9.6,0.032,52.0,Carmel Valley,15.787916791666667,64.8329805,7.173406895833334,1010.9833333333332,0.0,23.958333333333332
2014-06-06,36.4818700009023,-121.73333,11.3,0.037,55.0,Carmel Valley,14.631667041666667,68.75485808333333,7.2903415958333335,1010.2791666666667,0.0,30.625
