date,latitude,longitude,pm2.5,ozone,aqi,city,temperature_2m,relative_humidity_2m,wind_speed_10m,pressure_msl,precipitation,cloud_cover
2014-01-01,37.743065,-122.169935,24.9,0.009,80.0,Oakland,8.418470552941177,69.39925476470589,3.4061664470588235,1021.864705882353,0.0,65.05882352941177
2014-01-02,37.743065,-122.169935,18.0,0.01,68.0,Oakland,9.981583429166667,51.441501625,6.419883124999999,1020.6,0.0,49.041666666666664
2014-01-03,37.743065,-122.169935,18.1,0.006,68.0,Oakland,10.677416791666667,53.73144454166667,4.302322395833333,1017.3583333333332,0.0,73.5
2014-01-04,37.743065,-122.169935,15.9,0.018,64.0,Oakland,10.289916795833333,68.31450458333333,5.8156137333333335,1015.6750000000001,0.0,14.875
2014-01-05,37.743065,-122.169935,8.4,0.033,47.0,Oakland,11.185750075,32.326464791666666,9.359840737499999,1019.1750000000001,0.0,0.0
2014-01-06,37.743065,-122.169935,26.9,0.009,84.0,Oakland,8.869083487500001,52.01003054166667,6.773144816666666,1022.6916666666666,0.0,58.25
2014-01-07,37.743065,-122.169935,29.7,0.007,89.0,Oakland,10.6190835,60.83398775,3.789621375,1021.7541666666666,0.0,90.25
2014-01-08,37.743065,-122.169935,6.7,0.024,37.0,Oakland,12.002417000000001,84.195208625,6.675407366666668,1021.8958333333334,0.0,84.83333333333333
2014-01-09,37.743065,-122.169935,7.2,0.024,40.0,Oakland,11.98575025,79.512598375,7.922170049999999,1022.7666666666668,0.0,79.58333333333333
2014-01-10,37.743065,-122.169935,10.4,0.011,53.0,Oakland,10.623250116666666,75.02220345833334,5.976626802916667,1024.0708333333334,0.0,85.0
2014-01-11,37.743065,-122.169935,10.9,0.017,54.0,Oakland,10.4357502125,85.91017783333332,7.2142180499999995,1022.7083333333334,0.016666666666666666,99.91666666666667
2014-01-12,37.743065,-122.169935,7.7,0.024,43.0,Oakland,9.825333625,77.54751183333333,8.9879578625,1025.6583333333333,0.004166666666666667,40.583333333333336
2014-01-13,37.743065,-122.169935,4.5,0.032,25.0,Oakland,11.727416683333333,48.74956420833333,9.845537125,1028.3208333333334,0.0,1.75
2014-01-14,37.743065,-122.169935,9.2,0.03,51.0,Oakland,10.642000083333334,48.092693125000004,9.581438858333334,1029.2541666666666,0.0,0.08333333333333333
2014-01-15,37.743065,-122.169935,10.8,0.036,54.0,Oakland,12.252416708333334,37.086538499999996,9.7459677625,1026.3708333333334,0.0,0.0
