date,latitude,longitude,pm2.5,ozone,aqi,city,temperature_2m,relative_humidity_2m,wind_speed_10m,pressure_msl,precipitation,cloud_cover
2014-01-01,34.44806,-119.2313,5.6,0.04,31.0,Ojai - East Ojai Ave,12.660882335294119,49.9743375882353,3.496156917647059,1019.1294117647059,0.0,25.0
2014-01-02,34.44806,-119.2313,4.5,0.037,25.0,Ojai - East Ojai Ave,14.844583333333333,46.54836175,5.696240816666666,1017.9583333333334,0.0,40.958333333333336
2014-01-03,34.44806,-119.2313,5.7,0.035,32.0,Ojai - East Ojai Ave,14.609166666666667,52.8695655,5.350360833333333,1015.5500000000001,0.0,64.5
2014-01-04,34.44806,-119.2313,8.5,0.034,47.0,Ojai - East Ojai Ave,13.963333333333333,51.977638541666664,4.800071579166667,1014.1166666666667,0.0,96.125
2014-01-05,34.44806,-119.2313,4.7,0.036,26.0,Ojai - East Ojai Ave,13.484166666666667,51.964974250000004,4.0666444775,1017.3458333333333,0.0,39.916666666666664
2014-01-06,34.44806,-119.2313,3.4,0.037,19.0,Ojai - East Ojai Ave,14.307083333333333,33.106051,7.7275986083333335,1020.9083333333333,0.0,3.625
2014-01-07,34.44806,-119.2313,5.8,0.028,32.0,Ojai - East Ojai Ave,13.5883333625,41.729373375,5.03295725,1019.2791666666667,0.0,42.458333333333336
2014-01-08,34.44806,-119.2313,6.4,0.032,36.0,Ojai - East Ojai Ave,12.927916666666667,42.54627170833333,4.8465138525,1017.7083333333334,0.0,72.79166666666667
2014-01-09,34.44806,-119.2313,8.1,0.034,45.0,Ojai - East Ojai Ave,12.475833333333334,51.97022441666667,6.2748763570833335,1017.2166666666667,0.0,57.833333333333336
2014-01-10,34.44806,-119.2313,6.0,0.036,33.0,Ojai - East Ojai Ave,14.530000000000001,44.03626616666667,6.893936745833333,1017.3458333333333,0.0,30.833333333333332
2014-01-11,34.44806,-119.2313,6.8,0.041,38.0,Ojai - East Ojai Ave,14.717500000000001,47.17964583333333,6.429406033333334,1018.9625,0.0,41.666666666666664
2014-01-12,34.44806,-119.2313,4.3,0.038,24.0,Ojai - East Ojai Ave,14.479999999999999,51.80507466666666,5.75567302,1018.0,0.0,64.58333333333333
2014-01-13,34.44806,-119.2313,2.8,0.038,16.0,Ojai - East Ojai Ave,15.21125,31.87666797916667,10.1344572875,1022.5416666666666,0.0,6.125
2014-01-14,34.44806,-119.2313,2.9,0.043,16.0,Ojai - East Ojai Ave,16.77375,28.935626520833335,6.381060633333333,1025.05,0.0,0.0
2014-01-15,34.44806,-119.2313,4.5,0.039,25.0,Ojai - East Ojai Ave,18.16541666666667,24.918246166666666,8.467377254166667,1023.0708333333333,0.0,0.0
2014-01-16,34.44806,-119.2313,3.6,0.041,20.0,Ojai - East Ojai Ave,18.3675,27.559860625,7.342396958333333,1019.7541666666666,0.0,0.0
2014-01-17,34.44806,-119.2313,3.3,0.042,18.0,Ojai - East Ojai Ave,18.1675,21.914967649999998,8.877157504166666,1018.4083333333333,0.0,0.0
2014-01-18,34.44806,-119.2313,4.9,0.04,27.0,Ojai - East Ojai Ave,16.157083333333333,35.18659970833333,7.8019133583333335,1017.5041666666666,0.0,42.208333333333336
2014-01-19,34.44806,-119.2313,5.3,0.037,29.0,Ojai - East Ojai Ave,15.190416666666666,36.733015375,5.969114833333333,1017.5958333333333,0.0,70.16666666666667
2014-01-20,34.44806,-119.2313,4.9,0.044,27.0,Ojai - East Ojai Ave,15.271666695833334,36.38313247916667,3.6799422062500002,1019.0583333333334,0.0,27.75
2014-01-21,34.44806,-119.2313,4.9,0.029,27.0,Ojai - East Ojai Ave,15.296666666666667,35.19418470833333,5.8253366625,1020.3208333333333,0.0,80.875
2014-01-22,34.44806,-119.2313,5.2,0.041,29.0,Ojai - East Ojai Ave,16.7175,29.765988124999996,6.413577108333333,1016.4499999999999,0.0,75.33333333333333
2014-01-23,34.44806,-119.2313,6.9,0.04,38.0,Ojai - East Ojai Ave,14.102916666666667,38.804621583333336,8.049420154166667,1012.7666666666668,0.0,12.416666666666666
2014-01-24,34.44806,-119.2313,7.2,0.04,40.0,Ojai - East Ojai Ave,15.063333333333333,30.523855375,12.56734325,1018.2875,0.0,94.29166666666667
2014-01-25,34.44806,-119.2313,6.5,0.042,36.0,Ojai - East Ojai Ave,16.113333333333333,39.07441295833333,7.057170170833333,1021.8249999999999,0.0,53.166666666666664
2014-01-26,34.44806,-119.2313,7.1,0.039,39.0,Ojai - East Ojai Ave,13.771666666666667,50.85355825,4.738160579166666,1019.5416666666666,0.004166666666666667,62.125
