Date,Latitude,Longitude,PM2.5,Ozone,AQI,Name
2014-01-01,35.356615,-119.062613,84.3,0.045,171,Bakersfield-California
2014-01-02,35.356615,-119.062613,72.7,0.045,163,Bakersfield-California
2014-01-03,35.356615,-119.062613,76.2,0.042,166,Bakersfield-California
2014-01-04,35.356615,-119.062613,73.1,0.044,163,Bakersfield-California
2014-01-05,35.356615,-119.062613,69.4,0.048,161,Bakersfield-California
2014-01-06,35.356615,-119.062613,78.0,0.027,167,Bakersfield-California
2014-01-07,35.356615,-119.062613,70.4,0.019,161,Bakersfield-California
2014-01-08,35.356615,-119.062613,57.4,0.04,152,Bakersfield-California
2014-01-09,35.356615,-119.062613,45.1,0.026,125,Bakersfield-California
2014-01-10,35.356615,-119.062613,26.0,0.032,82,Bakersfield-California
2014-01-11,35.356615,-119.062613,27.1,0.026,85,Bakersfield-California
2014-01-12,35.356615,-119.062613,27.6,0.031,85,Bakersfield-California
2014-01-13,35.356615,-119.062613,22.8,0.017,77,Bakersfield-California
2014-01-14,35.356615,-119.062613,36.5,0.019,103,Bakersfield-California
2014-01-15,35.356615,-119.062613,50.9,0.023,139,Bakersfield-California
2014-01-16,35.356615,-119.062613,52.2,0.037,142,Bakersfield-California
2014-01-17,35.356615,-119.062613,58.7,0.043,153,Bakersfield-California
2014-01-18,35.356615,-119.062613,59.1,0.035,154,Bakersfield-California
2014-01-19,35.356615,-119.062613,66.4,0.048,159,Bakersfield-California
2014-01-20,35.356615,-119.062613,59.6,0.04,154,Bakersfield-California
2014-01-21,35.356615,-119.062613,81.3,0.018,169,Bakersfield-California
2014-01-22,35.356615,-119.062613,70.1,0.045,161,Bakersfield-California
2014-01-23,35.356615,-119.062613,30.3,0.039,90,Bakersfield-California
2014-01-24,35.356615,-119.062613,6.5,0.036,36,Bakersfield-California
2014-01-25,35.356615,-119.062613,22.9,0.04,77,Bakersfield-California
2014-01-26,35.356615,-119.062613,26.1,0.042,83,Bakersfield-California
2014-01-27,35.356615,-119.062613,38.7,0.05,109,Bakersfield-California
2014-01-28,35.356615,-119.062613,43.0,0.046,119,Bakersfield-California
2014-01-29,35.356615,-119.062613,35.5,0.052,101,Bakersfield-California
2014-01-30,35.356615,-119.062613,23.7,0.027,78,Bakersfield-California
2014-01-31,35.356615,-119.062613,12.0,0.035,56,Bakersfield-California
2014-02-01,35.356615,-119.062613,16.3,0.035,64,Bakersfield-California
2014-02-02,35.356615,-119.062613,11.3,0.031,55,Bakersfield-California
2014-02-03,35.356615,-119.062613,10.4,0.027,53,Bakersfield-California
2014-02-04,35.356615,-119.062613,15.5,0.034,63,Bakersfield-California
2014-02-05,35.356615,-119.062613,22.5,0.035,76,Bakersfield-California
2014-02-06,35.356615,-119.062613,16.2,0.027,64,Bakersfield-California
2014-02-07,35.356615,-119.062613,11.6,0.033,56,Bakersfield-California
2014-02-08,35.356615,-119.062613,9.8,0.036,52,Bakersfield-California
2014-02-09,35.356615,-119.062613,8.4,0.031,47,Bakersfield-California
2014-02-10,35.356615,-119.062613,8.2,0.028,46,Bakersfield-California
2014-02-11,35.356615,-119.062613,10.2,0.03,53,Bakersfield-California
2014-02-12,35.356615,-119.062613,19.9,0.033,71,Bakersfield-California
2014-02-13,35.356615,-119.062613,31.7,0.043,93,Bakersfield-California
2014-02-14,35.356615,-119.062613,28.5,0.044,87,Bakersfield-California
2014-02-15,35.356615,-119.062613,38.0,0.034,107,Bakersfield-California
2014-02-16,35.356615,-119.062613,30.0,0.031,90,Bakersfield-California
2014-02-17,35.356615,-119.062613,14.5,0.037,61,Bakersfield-California
2014-02-18,35.356615,-119.062613,11.3,0.034,55,Bakersfield-California
2014-02-19,35.356615,-119.062613,14.8,0.037,62,Bakersfield-California
2014-02-20,35.356615,-119.062613,8.7,0.033,48,Bakersfield-California
2014-02-21,35.356615,-119.062613,16.0,0.041,64,Bakersfield-California
2014-02-22,35.356615,-119.062613,20.9,0.051,73,Bakersfield-California
2014-02-23,35.356615,-119.062613,20.6,0.054,72,Bakersfield-California
2014-02-24,35.356615,-119.062613,26.7,0.059,84,Bakersfield-California
2014-02-25,35.356615,-119.062613,17.3,0.058,66,Bakersfield-California
2014-02-26,35.356615,-119.062613,11.9,0.029,56,Bakersfield-California
2014-02-27,35.356615,-119.062613,4.8,0.038,27,Bakersfield-California
2014-02-28,35.356615,-119.062613,5.3,0.033,29,Bakersfield-California
2014-03-01,35.356615,-119.062613,1.0,0.036,6,Bakersfield-California
2014-03-02,35.356615,-119.062613,3.5,0.031,19,Bakersfield-California
2014-03-03,35.356615,-119.062613,10.2,0.034,53,Bakersfield-California
2014-03-04,35.356615,-119.062613,17.6,0.03,67,Bakersfield-California
2014-03-05,35.356615,-119.062613,21.9,0.042,75,Bakersfield-California
2014-03-06,35.356615,-119.062613,25.0,0.037,81,Bakersfield-California
2014-03-07,35.356615,-119.062613,10.3,0.039,53,Bakersfield-California
2014-03-08,35.356615,-119.062613,14.1,0.049,60,Bakersfield-California
2014-03-09,35.356615,-119.062613,11.5,0.048,55,Bakersfield-California
2014-03-10,35.356615,-119.062613,13.6,0.045,59,Bakersfield-California
2014-03-11,35.356615,-119.062613,6.3,0.041,35,Bakersfield-California
2014-03-12,35.356615,-119.062613,8.5,0.041,47,Bakersfield-California
2014-03-13,35.356615,-119.062613,10.2,0.045,53,Bakersfield-California
2014-04-03,35.356615,-119.062613,11.0,0.049,55,Bakersfield-California
2014-04-04,35.356615,-119.062613,3.6,0.047,20,Bakersfield-California
2014-04-05,35.356615,-119.062613,6.1,0.041,34,Bakersfield-California
2014-04-06,35.356615,-119.062613,12.3,0.053,57,Bakersfield-California
2014-04-07,35.356615,-119.062613,11.1,0.056,55,Bakersfield-California
2014-04-08,35.356615,-119.062613,14.3,0.064,61,Bakersfield-California
2014-04-09,35.356615,-119.062613,12.5,0.067,57,Bakersfield-California
2014-04-10,35.356615,-119.062613,13.2,0.063,59,Bakersfield-California
2014-04-11,35.356615,-119.062613,12.6,0.065,58,Bakersfield-California
2014-04-12,35.356615,-119.062613,7.7,0.054,43,Bakersfield-California
2014-04-13,35.356615,-119.062613,11.3,0.052,55,Bakersfield-California
2014-04-14,35.356615,-119.062613,11.7,0.065,56,Bakersfield-California
2014-04-15,35.356615,-119.062613,11.3,0.064,55,Bakersfield-California
2014-04-16,35.356615,-119.062613,11.8,0.064,56,Bakersfield-California
2014-04-17,35.356615,-119.062613,11.4,0.063,55,Bakersfield-California
2014-04-18,35.356615,-119.062613,8.5,0.053,47,Bakersfield-California
2014-04-19,35.356615,-119.062613,9.8,0.054,52,Bakersfield-California
2014-04-20,35.356615,-119.062613,8.2,0.054,46,Bakersfield-California
2014-04-21,35.356615,-119.062613,12.6,0.07,58,Bakersfield-California
2014-04-22,35.356615,-119.062613,7.1,0.053,39,Bakersfield-California
2014-04-23,35.356615,-119.062613,5.7,0.051,32,Bakersfield-California
2014-04-24,35.356615,-119.062613,7.1,0.054,39,Bakersfield-California
2014-04-25,35.356615,-119.062613,3.5,0.042,19,Bakersfield-California
