Date,Latitude,Longitude,Ozone,AQI,Name
2014-01-01,32.8423180008601,-116.768293,0.053,49,Alpine
2014-01-02,32.8423180008601,-116.768293,0.041,38,Alpine
2014-01-03,32.8423180008601,-116.768293,0.048,44,Alpine
2014-01-04,32.8423180008601,-116.768293,0.047,44,Alpine
2014-01-05,32.8423180008601,-116.768293,0.046,43,Alpine
2014-01-06,32.8423180008601,-116.768293,0.041,38,Alpine
2014-01-07,32.8423180008601,-116.768293,0.037,34,Alpine
2014-01-08,32.8423180008601,-116.768293,0.042,39,Alpine
2014-01-09,32.8423180008601,-116.768293,0.04,37,Alpine
2014-01-10,32.8423180008601,-116.768293,0.049,45,Alpine
2014-01-11,32.8423180008601,-116.768293,0.056,54,Alpine
2014-01-12,32.8423180008601,-116.768293,0.056,54,Alpine
2014-01-13,32.8423180008601,-116.768293,0.048,44,Alpine
2014-01-14,32.8423180008601,-116.768293,0.05,46,Alpine
2014-01-15,32.8423180008601,-116.768293,0.045,42,Alpine
2014-01-16,32.8423180008601,-116.768293,0.05,46,Alpine
2014-01-17,32.8423180008601,-116.768293,0.047,44,Alpine
2014-01-18,32.8423180008601,-116.768293,0.049,45,Alpine
2014-01-19,32.8423180008601,-116.768293,0.045,42,Alpine
2014-01-20,32.8423180008601,-116.768293,0.051,47,Alpine
2014-01-21,32.8423180008601,-116.768293,0.042,39,Alpine
2014-01-22,32.8423180008601,-116.768293,0.053,49,Alpine
2014-01-24,32.8423180008601,-116.768293,0.041,38,Alpine
2014-01-25,32.8423180008601,-116.768293,0.047,44,Alpine
2014-01-26,32.8423180008601,-116.768293,0.039,36,Alpine
2014-01-27,32.8423180008601,-116.768293,0.048,44,Alpine
2014-01-28,32.8423180008601,-116.768293,0.046,43,Alpine
2014-01-29,32.8423180008601,-116.768293,0.045,42,Alpine
2014-01-30,32.8423180008601,-116.768293,0.041,38,Alpine
2014-01-31,32.8423180008601,-116.768293,0.042,39,Alpine
2014-02-01,32.8423180008601,-116.768293,0.043,40,Alpine
2014-02-02,32.8423180008601,-116.768293,0.045,42,Alpine
2014-02-03,32.8423180008601,-116.768293,0.042,39,Alpine
2014-02-04,32.8423180008601,-116.768293,0.043,40,Alpine
2014-02-05,32.8423180008601,-116.768293,0.045,42,Alpine
2014-02-06,32.8423180008601,-116.768293,0.044,41,Alpine
2014-02-07,32.8423180008601,-116.768293,0.041,38,Alpine
2014-02-08,32.8423180008601,-116.768293,0.045,42,Alpine
2014-02-09,32.8423180008601,-116.768293,0.037,34,Alpine
2014-02-10,32.8423180008601,-116.768293,0.037,34,Alpine
2014-02-11,32.8423180008601,-116.768293,0.046,43,Alpine
2014-02-12,32.8423180008601,-116.768293,0.054,50,Alpine
2014-02-13,32.8423180008601,-116.768293,0.055,51,Alpine
2014-02-14,32.8423180008601,-116.768293,0.054,50,Alpine
2014-02-15,32.8423180008601,-116.768293,0.055,51,Alpine
2014-02-16,32.8423180008601,-116.768293,0.044,41,Alpine
2014-02-17,32.8423180008601,-116.768293,0.039,36,Alpine
2014-02-18,32.8423180008601,-116.768293,0.035,32,Alpine
2014-02-19,32.8423180008601,-116.768293,0.048,44,Alpine
2014-02-20,32.8423180008601,-116.768293,0.051,47,Alpine
2014-02-21,32.8423180008601,-116.768293,0.055,51,Alpine
2014-02-22,32.8423180008601,-116.768293,0.054,50,Alpine
2014-02-23,32.8423180008601,-116.768293,0.06,67,Alpine
2014-02-24,32.8423180008601,-116.768293,0.056,54,Alpine
2014-02-25,32.8423180008601,-116.768293,0.058,61,Alpine
2014-02-26,32.8423180008601,-116.768293,0.037,34,Alpine
2014-02-27,32.8423180008601,-116.768293,0.027,25,Alpine
2014-02-28,32.8423180008601,-116.768293,0.044,41,Alpine
2014-03-01,32.8423180008601,-116.768293,0.044,41,Alpine
2014-03-02,32.8423180008601,-116.768293,0.041,38,Alpine
2014-03-03,32.8423180008601,-116.768293,0.044,41,Alpine
2014-03-04,32.8423180008601,-116.768293,0.045,42,Alpine
2014-03-05,32.8423180008601,-116.768293,0.049,45,Alpine
2014-03-06,32.8423180008601,-116.768293,0.049,45,Alpine
2014-03-07,32.8423180008601,-116.768293,0.043,40,Alpine
2014-03-08,32.8423180008601,-116.768293,0.051,47,Alpine
2014-03-09,32.8423180008601,-116.768293,0.049,45,Alpine
2014-03-10,32.8423180008601,-116.768293,0.058,61,Alpine
